AddressID,CustomerID,AddressType,AddressLine1,AddressLine2,City
27,14,home,4059 Al Murabba St.,"Near King Fahad Road, Al Rabwah District, Yanbu, Saudi Arabia",Yanbu
28,14,Work,8282 Al Murabba St.,"Apartment 41, Al Yasmin District, Jazan, Saudi Arabia",Jazan
29,15,home,5661 Al Yasmin St.,"Office 418, Al Yasmin District, Abha, Saudi Arabia",Abha
30,15,,5387 Al Shati St.,"Office 139, Al Shati District, Yanbu, Saudi Arabia",Yanbu
31,15,Work,2982 Al Zahra St.,"Near King Fahad Road, Al Hamra District, Khobar, Saudi Arabia",Khobar
32,16,home,6692 Al Hamra St.,"Office 887, Al Shati District, Khobar, Saudi Arabia",Khobar
33,16,,4140 Al Nakheel St.,"Villa 185, Al Yasmin District, Hail, Saudi Arabia",Hail
34,16,WORK,2037 Al Olaya St.,"Suite 486, Al Rawdah District, Najran, Saudi Arabia",Najran
35,17,,8602 Al Hamra St.,"Building 8, Floor 3, Taif, Saudi Arabia",Taif
36,18,WORK,6664 Al Malaz St.,"Office 242, Al Safa District, Yanbu, Saudi Arabia",Yanbu
37,19,Work,5727 Al Faisaliyah St.,"Suite 157, Al Safa District, Dammam, Saudi Arabia",Dammam
38,19,,1165 Al Nakheel St.,"Near King Fahad Road, Al Rabwah District, Jeddah, Saudi Arabia",Jeddah
39,19,Home,5852 Al Nakheel St.,"Suite 661, Al Zahra District, Yanbu, Saudi Arabia",Yanbu
40,20,,3614 Al Nakheel St.,"Near King Fahad Road, Al Hamra District, Mecca, Saudi Arabia",Mecca
41,21,home,3467 Al Faisaliyah St.,"Apartment 27, Al Olaya District, Medina, Saudi Arabia",Medina
42,21,home,4605 Al Rawdah St.,"Office 687, Al Olaya District, Medina, Saudi Arabia",Medina
43,22,WORK,3436 Al Murabba St.,"Villa 248, Al Faisaliyah District, Najran, Saudi Arabia",Najran
44,22,Home,1423 Al Hamra St.,"Unit 21, Block C, Riyadh, Saudi Arabia",Riyadh
45,22,WORK,586 Al Murabba St.,"Office 533, Al Hamra District, Riyadh, Saudi Arabia",Riyadh
46,23,WORK,9707 Al Zahra St.,"Suite 758, Al Olaya District, Jazan, Saudi Arabia",Jazan
47,23,home,2759 Al Nakheel St.,"Unit 20, Block E, Al Ahsa, Saudi Arabia",Al Ahsa
48,24,home,3856 Al Zahra St.,"Office 457, Al Zahra District, Khobar, Saudi Arabia",Khobar
49,24,home,2444 Al Nakheel St.,"Villa 235, Al Murabba District, Yanbu, Saudi Arabia",Yanbu
50,25,Work,2649 Al Rawdah St.,"Unit 65, Block E, Dammam, Saudi Arabia",Dammam
51,26,Work,8815 Al Murabba St.,"Unit 45, Block C, Yanbu, Saudi Arabia",Yanbu
52,26,,8903 Al Zahra St.,"Villa 33, Al Shati District, Mecca, Saudi Arabia",Mecca
53,26,,8066 Al Malaz St.,"Unit 19, Block E, Najran, Saudi Arabia",Najran
54,27,,8567 Al Zahra St.,"Near King Fahad Road, Al Safa District, Mecca, Saudi Arabia",Mecca
55,27,WORK,1914 Al Olaya St.,"Unit 67, Block B, Medina, Saudi Arabia",Medina
56,27,WORK,16 Al Murabba St.,"Suite 726, Al Shati District, Taif, Saudi Arabia",Taif
57,28,Home,6015 Al Murabba St.,"Villa 87, Al Olaya District, Medina, Saudi Arabia",Medina
58,28,Home,7431 Al Nakheel St.,"Suite 292, Al Faisaliyah District, Jazan, Saudi Arabia",Jazan
59,28,WORK,7322 Al Murabba St.,"Apartment 1, Al Yasmin District, Najran, Saudi Arabia",Najran
60,29,Home,6952 Al Nakheel St.,"Building 23, Floor 9, Hail, Saudi Arabia",Hail
61,29,,8221 Al Murabba St.,"Villa 242, Al Zahra District, Buraidah, Saudi Arabia",Buraidah
62,29,,5381 Al Faisaliyah St.,"Building 27, Floor 5, Riyadh, Saudi Arabia",Riyadh
63,30,Work,8556 Al Shati St.,"Near King Fahad Road, Al Yasmin District, Buraidah, Saudi Arabia",Buraidah
64,31,Home,1836 Al Murabba St.,"Unit 62, Block E, Najran, Saudi Arabia",Najran
65,31,home,347 Al Faisaliyah St.,"Near King Fahad Road, Al Faisaliyah District, Yanbu, Saudi Arabia",Yanbu
66,31,Home,6788 Al Malaz St.,"Suite 626, Al Rawdah District, Hail, Saudi Arabia",Hail
67,32,home,7181 Al Malaz St.,"Near King Fahad Road, Al Shati District, Al Ahsa, Saudi Arabia",Al Ahsa
68,32,Home,8865 Al Yasmin St.,"Suite 162, Al Safa District, Mecca, Saudi Arabia",Mecca
69,33,Home,8145 Al Nakheel St.,"Building 26, Floor 5, Taif, Saudi Arabia",Taif
70,33,Work,8152 Al Malaz St.,"Office 602, Al Faisaliyah District, Mecca, Saudi Arabia",Mecca
71,34,Work,7359 Al Faisaliyah St.,"Unit 53, Block B, Khobar, Saudi Arabia",Khobar
72,34,WORK,4638 Al Yasmin St.,"Suite 615, Al Rawdah District, Buraidah, Saudi Arabia",Buraidah
73,35,,4973 Al Zahra St.,"Building 14, Floor 11, Mecca, Saudi Arabia",Mecca
74,36,Home,6042 Al Olaya St.,"Unit 27, Block C, Tabuk, Saudi Arabia",Tabuk
75,36,home,8778 Al Malaz St.,"Near King Fahad Road, Al Yasmin District, Dammam, Saudi Arabia",Dammam
76,37,WORK,3802 Al Olaya St.,"Unit 19, Block C, Yanbu, Saudi Arabia",Yanbu
77,37,Work,8968 Al Olaya St.,"Unit 63, Block B, Dammam, Saudi Arabia",Dammam
78,38,Work,4582 Al Faisaliyah St.,"Unit 86, Block E, Taif, Saudi Arabia",Taif
79,38,WORK,9717 Al Olaya St.,"Apartment 23, Al Faisaliyah District, Yanbu, Saudi Arabia",Yanbu
80,39,home,5420 Al Nakheel St.,"Villa 99, Al Safa District, Taif, Saudi Arabia",Taif
81,40,home,994 Al Yasmin St.,"Office 119, Al Olaya District, Dammam, Saudi Arabia",Dammam
82,40,,5463 Al Zahra St.,"Building 28, Floor 6, Jeddah, Saudi Arabia",Jeddah
83,41,Work,4033 Al Shati St.,"Office 710, Al Malaz District, Najran, Saudi Arabia",Najran
84,41,Home,5191 Al Nakheel St.,"Suite 642, Al Zahra District, Taif, Saudi Arabia",Taif
85,41,WORK,6719 Al Nakheel St.,"Building 8, Floor 9, Medina, Saudi Arabia",Medina
86,42,Work,448 Al Malaz St.,"Suite 515, Al Yasmin District, Taif, Saudi Arabia",Taif
87,42,Work,137 Al Faisaliyah St.,"Apartment 7, Al Shati District, Mecca, Saudi Arabia",Mecca
88,42,Work,1396 Al Nakheel St.,"Villa 56, Al Rabwah District, Medina, Saudi Arabia",Medina
89,43,WORK,7286 Al Olaya St.,"Apartment 57, Al Rabwah District, Medina, Saudi Arabia",Medina
90,43,WORK,8944 Al Yasmin St.,"Building 1, Floor 5, Najran, Saudi Arabia",Najran
91,43,home,1553 Al Nakheel St.,"Unit 64, Block A, Abha, Saudi Arabia",Abha
92,44,Work,6421 Al Malaz St.,"Building 2, Floor 1, Medina, Saudi Arabia",Medina
93,44,WORK,3101 Al Olaya St.,"Apartment 11, Al Faisaliyah District, Dammam, Saudi Arabia",Dammam
94,44,Work,5992 Al Yasmin St.,"Suite 252, Al Safa District, Taif, Saudi Arabia",Taif
95,45,,6245 Al Malaz St.,"Near King Fahad Road, Al Zahra District, Buraidah, Saudi Arabia",Buraidah
96,45,Home,7081 Al Hamra St.,"Unit 88, Block E, Al Ahsa, Saudi Arabia",Al Ahsa
97,46,Home,7750 Al Shati St.,"Apartment 57, Al Rawdah District, Medina, Saudi Arabia",Medina
98,46,Work,8606 Al Hamra St.,"Near King Fahad Road, Al Malaz District, Jeddah, Saudi Arabia",Jeddah
99,46,Home,490 Al Faisaliyah St.,"Office 252, Al Shati District, Yanbu, Saudi Arabia",Yanbu
100,47,Home,6530 Al Murabba St.,"Unit 57, Block E, Buraidah, Saudi Arabia",Buraidah
101,48,home,2182 Al Olaya St.,"Office 846, Al Nakheel District, Hail, Saudi Arabia",Hail
102,48,,8497 Al Murabba St.,"Villa 210, Al Malaz District, Dammam, Saudi Arabia",Dammam
103,48,Work,1117 Al Yasmin St.,"Near King Fahad Road, Al Malaz District, Abha, Saudi Arabia",Abha
104,49,,5060 Al Malaz St.,"Building 7, Floor 10, Jeddah, Saudi Arabia",Jeddah
105,49,home,8183 Al Hamra St.,"Unit 26, Block C, Medina, Saudi Arabia",Medina
106,50,,6038 Al Nakheel St.,"Villa 16, Al Murabba District, Dammam, Saudi Arabia",Dammam
107,50,home,3569 Al Faisaliyah St.,"Suite 618, Al Hamra District, Yanbu, Saudi Arabia",Yanbu
108,51,Work,373 Al Shati St.,"Office 497, Al Murabba District, Al Ahsa, Saudi Arabia",Al Ahsa
109,52,Work,9611 Al Hamra St.,"Unit 14, Block B, Khobar, Saudi Arabia",Khobar
110,53,Work,2004 Al Malaz St.,"Apartment 53, Al Malaz District, Yanbu, Saudi Arabia",Yanbu
111,53,home,3592 Al Olaya St.,"Apartment 30, Al Murabba District, Khobar, Saudi Arabia",Khobar
112,53,Home,639 Al Hamra St.,"Suite 995, Al Faisaliyah District, Dammam, Saudi Arabia",Dammam
113,54,Home,6306 Al Murabba St.,"Office 253, Al Zahra District, Najran, Saudi Arabia",Najran
114,54,WORK,8375 Al Hamra St.,"Unit 88, Block D, Riyadh, Saudi Arabia",Riyadh
115,54,Work,3333 Al Nakheel St.,"Office 756, Al Yasmin District, Taif, Saudi Arabia",Taif
116,55,WORK,4461 Al Malaz St.,"Suite 364, Al Shati District, Tabuk, Saudi Arabia",Tabuk
117,55,home,7614 Al Olaya St.,"Suite 426, Al Shati District, Medina, Saudi Arabia",Medina
118,55,WORK,2262 Al Hamra St.,"Office 641, Al Shati District, Buraidah, Saudi Arabia",Buraidah
119,56,home,2267 Al Rawdah St.,"Villa 106, Al Rabwah District, Riyadh, Saudi Arabia",Riyadh
120,57,home,8285 Al Nakheel St.,"Near King Fahad Road, Al Murabba District, Taif, Saudi Arabia",Taif
121,58,WORK,726 Al Zahra St.,"Unit 44, Block D, Jeddah, Saudi Arabia",Jeddah
122,59,WORK,5700 Al Nakheel St.,"Suite 466, Al Olaya District, Riyadh, Saudi Arabia",Riyadh
123,60,,9625 Al Rawdah St.,"Apartment 23, Al Shati District, Hail, Saudi Arabia",Hail
124,60,Home,5271 Al Zahra St.,"Villa 250, Al Faisaliyah District, Taif, Saudi Arabia",Taif
125,61,Home,5702 Al Rawdah St.,"Suite 825, Al Hamra District, Hail, Saudi Arabia",Hail
126,61,WORK,9553 Al Malaz St.,"Apartment 40, Al Faisaliyah District, Hail, Saudi Arabia",Hail
127,62,,3185 Al Rawdah St.,"Building 8, Floor 2, Buraidah, Saudi Arabia",Buraidah
128,62,WORK,4172 Al Murabba St.,"Unit 53, Block C, Medina, Saudi Arabia",Medina
129,62,,5169 Al Rawdah St.,"Office 507, Al Rabwah District, Jazan, Saudi Arabia",Jazan
130,63,Home,5850 Al Shati St.,"Villa 163, Al Malaz District, Hail, Saudi Arabia",Hail
131,63,home,9070 Al Murabba St.,"Building 17, Floor 10, Abha, Saudi Arabia",Abha
132,63,Home,8883 Al Murabba St.,"Building 3, Floor 6, Hail, Saudi Arabia",Hail
133,64,,2788 Al Olaya St.,"Unit 72, Block A, Mecca, Saudi Arabia",Mecca
134,64,home,8159 Al Murabba St.,"Office 359, Al Safa District, Jeddah, Saudi Arabia",Jeddah
135,64,home,5047 Al Malaz St.,"Villa 49, Al Malaz District, Medina, Saudi Arabia",Medina
136,65,WORK,185 Al Shati St.,"Unit 36, Block D, Mecca, Saudi Arabia",Mecca
137,65,,7085 Al Nakheel St.,"Building 4, Floor 4, Hail, Saudi Arabia",Hail
138,66,home,7597 Al Murabba St.,"Villa 75, Al Shati District, Jeddah, Saudi Arabia",Jeddah
139,66,home,3734 Al Malaz St.,"Near King Fahad Road, Al Safa District, Hail, Saudi Arabia",Hail
140,66,Home,956 Al Malaz St.,"Near King Fahad Road, Al Rabwah District, Khobar, Saudi Arabia",Khobar
141,67,home,5043 Al Rawdah St.,"Office 750, Al Faisaliyah District, Medina, Saudi Arabia",Medina
142,67,,9772 Al Faisaliyah St.,"Unit 56, Block D, Najran, Saudi Arabia",Najran
143,67,,3555 Al Murabba St.,"Building 16, Floor 7, Khobar, Saudi Arabia",Khobar
144,68,Home,6218 Al Rawdah St.,"Building 9, Floor 4, Taif, Saudi Arabia",Taif
145,68,home,3775 Al Shati St.,"Office 416, Al Shati District, Abha, Saudi Arabia",Abha
146,68,Work,7467 Al Nakheel St.,"Unit 28, Block E, Tabuk, Saudi Arabia",Tabuk
147,69,Home,5692 Al Shati St.,"Apartment 17, Al Hamra District, Abha, Saudi Arabia",Abha
148,69,WORK,8297 Al Rawdah St.,"Suite 143, Al Nakheel District, Riyadh, Saudi Arabia",Riyadh
149,70,,9243 Al Yasmin St.,"Office 445, Al Rabwah District, Mecca, Saudi Arabia",Mecca
150,71,,8707 Al Malaz St.,"Building 24, Floor 6, Taif, Saudi Arabia",Taif
151,72,WORK,6404 Al Nakheel St.,"Building 30, Floor 6, Najran, Saudi Arabia",Najran
152,72,Home,3133 Al Yasmin St.,"Unit 67, Block A, Riyadh, Saudi Arabia",Riyadh
153,73,WORK,8277 Al Nakheel St.,"Apartment 1, Al Malaz District, Yanbu, Saudi Arabia",Yanbu
154,74,home,5187 Al Malaz St.,"Office 120, Al Olaya District, Jeddah, Saudi Arabia",Jeddah
155,74,WORK,4821 Al Yasmin St.,"Apartment 7, Al Zahra District, Najran, Saudi Arabia",Najran
156,74,Home,4825 Al Malaz St.,"Suite 827, Al Shati District, Taif, Saudi Arabia",Taif
157,75,Work,9054 Al Yasmin St.,"Building 10, Floor 7, Khobar, Saudi Arabia",Khobar
158,76,WORK,1687 Al Faisaliyah St.,"Suite 499, Al Rawdah District, Jazan, Saudi Arabia",Jazan
159,76,,1704 Al Murabba St.,"Building 29, Floor 7, Khobar, Saudi Arabia",Khobar
160,76,,9323 Al Shati St.,"Suite 120, Al Hamra District, Yanbu, Saudi Arabia",Yanbu
161,77,home,6978 Al Zahra St.,"Building 24, Floor 3, Jeddah, Saudi Arabia",Jeddah
162,77,home,6670 Al Murabba St.,"Building 2, Floor 3, Tabuk, Saudi Arabia",Tabuk
163,77,Work,7328 Al Faisaliyah St.,"Villa 154, Al Yasmin District, Tabuk, Saudi Arabia",Tabuk
164,78,home,2366 Al Shati St.,"Unit 51, Block B, Yanbu, Saudi Arabia",Yanbu
165,78,Work,8861 Al Hamra St.,"Apartment 51, Al Faisaliyah District, Al Ahsa, Saudi Arabia",Al Ahsa
166,78,Home,5557 Al Zahra St.,"Office 934, Al Rabwah District, Buraidah, Saudi Arabia",Buraidah
167,79,home,6688 Al Faisaliyah St.,"Near King Fahad Road, Al Rabwah District, Yanbu, Saudi Arabia",Yanbu
168,79,Home,5089 Al Murabba St.,"Near King Fahad Road, Al Faisaliyah District, Buraidah, Saudi Arabia",Buraidah
169,80,Home,4237 Al Olaya St.,"Office 492, Al Olaya District, Al Ahsa, Saudi Arabia",Al Ahsa
170,80,Work,6248 Al Rawdah St.,"Building 18, Floor 8, Hail, Saudi Arabia",Hail
171,80,WORK,8463 Al Malaz St.,"Near King Fahad Road, Al Shati District, Najran, Saudi Arabia",Najran
172,81,Home,7118 Al Zahra St.,"Suite 197, Al Rabwah District, Jazan, Saudi Arabia",Jazan
173,81,WORK,1473 Al Nakheel St.,"Apartment 38, Al Shati District, Mecca, Saudi Arabia",Mecca
174,81,home,4104 Al Faisaliyah St.,"Building 7, Floor 9, Taif, Saudi Arabia",Taif
175,82,WORK,2485 Al Murabba St.,"Apartment 32, Al Nakheel District, Medina, Saudi Arabia",Medina
176,82,Work,2640 Al Yasmin St.,"Apartment 47, Al Rabwah District, Jazan, Saudi Arabia",Jazan
177,82,,7915 Al Olaya St.,"Suite 136, Al Murabba District, Abha, Saudi Arabia",Abha
178,83,Home,1849 Al Yasmin St.,"Building 14, Floor 9, Hail, Saudi Arabia",Hail
179,83,Work,1669 Al Nakheel St.,"Apartment 59, Al Safa District, Taif, Saudi Arabia",Taif
180,84,Work,4700 Al Zahra St.,"Building 4, Floor 2, Yanbu, Saudi Arabia",Yanbu
181,84,Home,2343 Al Hamra St.,"Suite 751, Al Yasmin District, Jazan, Saudi Arabia",Jazan
182,85,WORK,3586 Al Yasmin St.,"Near King Fahad Road, Al Rabwah District, Buraidah, Saudi Arabia",Buraidah
183,85,home,9712 Al Murabba St.,"Villa 204, Al Faisaliyah District, Mecca, Saudi Arabia",Mecca
184,85,home,5579 Al Olaya St.,"Unit 42, Block C, Al Ahsa, Saudi Arabia",Al Ahsa
185,86,,4587 Al Faisaliyah St.,"Unit 81, Block D, Abha, Saudi Arabia",Abha
186,86,WORK,640 Al Yasmin St.,"Villa 120, Al Yasmin District, Yanbu, Saudi Arabia",Yanbu
187,86,,794 Al Hamra St.,"Villa 101, Al Hamra District, Tabuk, Saudi Arabia",Tabuk
188,87,Home,7859 Al Faisaliyah St.,"Unit 87, Block E, Tabuk, Saudi Arabia",Tabuk
189,87,Work,4038 Al Malaz St.,"Building 20, Floor 10, Buraidah, Saudi Arabia",Buraidah
190,88,,5071 Al Shati St.,"Unit 32, Block B, Al Ahsa, Saudi Arabia",Al Ahsa
191,88,WORK,466 Al Zahra St.,"Unit 46, Block A, Taif, Saudi Arabia",Taif
192,88,home,36 Al Olaya St.,"Office 276, Al Malaz District, Jazan, Saudi Arabia",Jazan
193,89,WORK,9460 Al Shati St.,"Office 191, Al Yasmin District, Jazan, Saudi Arabia",Jazan
194,90,WORK,1350 Al Hamra St.,"Suite 976, Al Olaya District, Abha, Saudi Arabia",Abha
195,91,Home,3827 Al Shati St.,"Unit 79, Block B, Buraidah, Saudi Arabia",Buraidah
196,91,WORK,2427 Al Rawdah St.,"Suite 164, Al Zahra District, Jeddah, Saudi Arabia",Jeddah
197,92,,1496 Al Hamra St.,"Unit 22, Block B, Al Ahsa, Saudi Arabia",Al Ahsa
198,92,Work,5283 Al Shati St.,"Suite 552, Al Safa District, Najran, Saudi Arabia",Najran
199,93,,6029 Al Nakheel St.,"Suite 689, Al Olaya District, Buraidah, Saudi Arabia",Buraidah
200,93,Home,4429 Al Rawdah St.,"Unit 56, Block D, Khobar, Saudi Arabia",Khobar
201,93,Work,5515 Al Hamra St.,"Near King Fahad Road, Al Zahra District, Jeddah, Saudi Arabia",Jeddah
202,94,WORK,8259 Al Malaz St.,"Building 5, Floor 11, Dammam, Saudi Arabia",Dammam
203,94,Work,1009 Al Faisaliyah St.,"Villa 146, Al Faisaliyah District, Riyadh, Saudi Arabia",Riyadh
204,94,Work,8942 Al Hamra St.,"Office 104, Al Yasmin District, Khobar, Saudi Arabia",Khobar
205,95,,1235 Al Faisaliyah St.,"Near King Fahad Road, Al Faisaliyah District, Abha, Saudi Arabia",Abha
206,95,WORK,216 Al Malaz St.,"Apartment 49, Al Olaya District, Mecca, Saudi Arabia",Mecca
207,96,Work,4150 Al Malaz St.,"Near King Fahad Road, Al Rawdah District, Tabuk, Saudi Arabia",Tabuk
208,97,Work,2450 Al Zahra St.,"Apartment 58, Al Yasmin District, Jeddah, Saudi Arabia",Jeddah
209,98,Work,5752 Al Olaya St.,"Unit 34, Block C, Taif, Saudi Arabia",Taif
210,98,,7137 Al Zahra St.,"Villa 159, Al Safa District, Jazan, Saudi Arabia",Jazan
211,98,home,1110 Al Faisaliyah St.,"Office 768, Al Yasmin District, Mecca, Saudi Arabia",Mecca
212,99,,3049 Al Yasmin St.,"Near King Fahad Road, Al Malaz District, Najran, Saudi Arabia",Najran
213,99,WORK,2509 Al Malaz St.,"Villa 166, Al Murabba District, Abha, Saudi Arabia",Abha
214,99,home,626 Al Hamra St.,"Apartment 10, Al Nakheel District, Buraidah, Saudi Arabia",Buraidah
215,100,Home,7563 Al Shati St.,"Villa 134, Al Hamra District, Yanbu, Saudi Arabia",Yanbu
216,100,home,6469 Al Shati St.,"Building 3, Floor 9, Tabuk, Saudi Arabia",Tabuk
217,100,Home,7756 Al Zahra St.,"Office 262, Al Shati District, Riyadh, Saudi Arabia",Riyadh
218,101,Home,1732 Al Olaya St.,"Building 4, Floor 11, Jeddah, Saudi Arabia",Jeddah
219,101,,8503 Al Yasmin St.,"Unit 57, Block D, Medina, Saudi Arabia",Medina
220,101,Home,7410 Al Zahra St.,"Suite 946, Al Yasmin District, Buraidah, Saudi Arabia",Buraidah
221,102,,7122 Al Rawdah St.,"Suite 376, Al Rawdah District, Medina, Saudi Arabia",Medina
222,103,Work,1221 Al Zahra St.,"Unit 52, Block A, Najran, Saudi Arabia",Najran
223,104,,5936 Al Zahra St.,"Apartment 29, Al Faisaliyah District, Abha, Saudi Arabia",Abha
224,104,Work,8078 Al Rawdah St.,"Near King Fahad Road, Al Olaya District, Mecca, Saudi Arabia",Mecca
225,104,home,6952 Al Murabba St.,"Unit 57, Block E, Abha, Saudi Arabia",Abha
226,105,Work,9843 Al Malaz St.,"Villa 151, Al Shati District, Taif, Saudi Arabia",Taif
227,105,home,9927 Al Malaz St.,"Suite 641, Al Rawdah District, Dammam, Saudi Arabia",Dammam
228,106,,7029 Al Hamra St.,"Unit 90, Block D, Yanbu, Saudi Arabia",Yanbu
229,106,,5647 Al Hamra St.,"Villa 101, Al Malaz District, Tabuk, Saudi Arabia",Tabuk
230,107,Work,2125 Al Zahra St.,"Building 14, Floor 11, Dammam, Saudi Arabia",Dammam
231,108,Home,4632 Al Olaya St.,"Suite 143, Al Zahra District, Yanbu, Saudi Arabia",Yanbu
232,108,home,6664 Al Olaya St.,"Office 701, Al Yasmin District, Khobar, Saudi Arabia",Khobar
233,108,Home,4504 Al Yasmin St.,"Villa 55, Al Rabwah District, Najran, Saudi Arabia",Najran
234,109,Work,6123 Al Zahra St.,"Office 433, Al Murabba District, Riyadh, Saudi Arabia",Riyadh
235,109,Work,7726 Al Rawdah St.,"Building 13, Floor 7, Khobar, Saudi Arabia",Khobar
236,109,,7565 Al Olaya St.,"Unit 71, Block D, Al Ahsa, Saudi Arabia",Al Ahsa
237,110,Work,5305 Al Olaya St.,"Building 28, Floor 1, Mecca, Saudi Arabia",Mecca
238,111,WORK,3655 Al Faisaliyah St.,"Suite 909, Al Faisaliyah District, Abha, Saudi Arabia",Abha
239,111,home,3542 Al Zahra St.,"Apartment 14, Al Faisaliyah District, Hail, Saudi Arabia",Hail
240,112,Home,9008 Al Hamra St.,"Apartment 51, Al Hamra District, Abha, Saudi Arabia",Abha
241,113,WORK,1658 Al Zahra St.,"Unit 51, Block C, Tabuk, Saudi Arabia",Tabuk
242,113,WORK,4627 Al Olaya St.,"Suite 281, Al Zahra District, Taif, Saudi Arabia",Taif
243,113,Work,5856 Al Faisaliyah St.,"Villa 38, Al Faisaliyah District, Al Ahsa, Saudi Arabia",Al Ahsa
244,114,WORK,8650 Al Rawdah St.,"Villa 131, Al Rawdah District, Hail, Saudi Arabia",Hail
245,114,Home,9868 Al Murabba St.,"Office 819, Al Malaz District, Khobar, Saudi Arabia",Khobar
246,115,Home,5120 Al Faisaliyah St.,"Office 835, Al Hamra District, Tabuk, Saudi Arabia",Tabuk
247,115,Home,5037 Al Faisaliyah St.,"Near King Fahad Road, Al Murabba District, Yanbu, Saudi Arabia",Yanbu
248,115,Home,4696 Al Yasmin St.,"Suite 418, Al Faisaliyah District, Jazan, Saudi Arabia",Jazan
249,116,Home,617 Al Yasmin St.,"Suite 427, Al Rabwah District, Khobar, Saudi Arabia",Khobar
250,116,WORK,4754 Al Shati St.,"Building 21, Floor 4, Mecca, Saudi Arabia",Mecca
251,116,WORK,484 Al Shati St.,"Villa 49, Al Rabwah District, Najran, Saudi Arabia",Najran
252,117,Home,7926 Al Rawdah St.,"Near King Fahad Road, Al Rabwah District, Khobar, Saudi Arabia",Khobar
253,117,WORK,6668 Al Rawdah St.,"Office 516, Al Yasmin District, Jeddah, Saudi Arabia",Jeddah
254,118,,2379 Al Nakheel St.,"Near King Fahad Road, Al Zahra District, Dammam, Saudi Arabia",Dammam
255,118,,6868 Al Faisaliyah St.,"Building 1, Floor 9, Mecca, Saudi Arabia",Mecca
256,118,WORK,9117 Al Hamra St.,"Villa 84, Al Malaz District, Yanbu, Saudi Arabia",Yanbu
257,119,,8444 Al Nakheel St.,"Near King Fahad Road, Al Yasmin District, Mecca, Saudi Arabia",Mecca
258,119,Home,9569 Al Rawdah St.,"Unit 20, Block A, Khobar, Saudi Arabia",Khobar
259,119,Work,5702 Al Shati St.,"Office 676, Al Safa District, Medina, Saudi Arabia",Medina
260,120,Home,5143 Al Yasmin St.,"Apartment 48, Al Hamra District, Hail, Saudi Arabia",Hail
261,121,WORK,1677 Al Olaya St.,"Apartment 29, Al Zahra District, Tabuk, Saudi Arabia",Tabuk
262,122,Home,3747 Al Yasmin St.,"Unit 39, Block C, Jazan, Saudi Arabia",Jazan
263,123,WORK,1765 Al Murabba St.,"Villa 198, Al Yasmin District, Hail, Saudi Arabia",Hail
